scheme,risk,risk2LOL,nVoters
PluralityVoting,1.5,1.5,4
PluralityVoting,52.8,52.8,5
PluralityVoting,200.0,200.0,6
PluralityVoting,1234.2857142857142,1234.2857142857142,7
PluralityVoting,13230.0,13230.0,8
PluralityVoting,107520.0,107520.0,9
PluralityVoting,979776.0,979776.0,10
AntiPluralityVoting,0.0,0.0,4
AntiPluralityVoting,38.4,38.4,5
AntiPluralityVoting,200.0,200.0,6
AntiPluralityVoting,1234.2857142857142,1234.2857142857142,7
AntiPluralityVoting,13230.0,13230.0,8
AntiPluralityVoting,107520.0,107520.0,9
AntiPluralityVoting,979776.0,979776.0,10
BordaVoting,1.25,1.25,4
BordaVoting,22.4,22.4,5
BordaVoting,0.0,0.0,6
BordaVoting,0.0,0.0,7
BordaVoting,0.0,0.0,8
BordaVoting,0.0,0.0,9
BordaVoting,0.0,0.0,10
TwoVoting,0.0,0.0,4
TwoVoting,36.0,36.0,5
TwoVoting,320.0,320.0,6
TwoVoting,2057.1428571428573,2057.1428571428573,7
TwoVoting,18900.0,18900.0,8
TwoVoting,170240.0,170240.0,9
TwoVoting,1669248.0,1669248.0,10
