test,scheme,risk,nVoters
odd_4,PluralityVoting,0.0,4
odd_4,PluralityVoting,2.4,5
odd_4,PluralityVoting,4.0,6
odd_4,PluralityVoting,0.0,7
odd_4,PluralityVoting,7.5,8
odd_4,PluralityVoting,4.0,9
odd_4,PluralityVoting,38.4,10
odd_4,AntiPluralityVoting,4.5,4
odd_4,AntiPluralityVoting,2.4,5
odd_4,AntiPluralityVoting,2.0,6
odd_4,AntiPluralityVoting,1.7142857142857142,7
odd_4,AntiPluralityVoting,7.5,8
odd_4,AntiPluralityVoting,2.0,9
odd_4,AntiPluralityVoting,38.4,10
odd_4,BordaVoting,5.25,4
odd_4,BordaVoting,0.0,5
odd_4,BordaVoting,2.0,6
odd_4,BordaVoting,7.142857142857143,7
odd_4,BordaVoting,9.5,8
odd_4,BordaVoting,0.0,9
odd_4,BordaVoting,66.8,10
odd_4,TwoVoting,8.0,4
odd_4,TwoVoting,0.0,5
odd_4,TwoVoting,1.3333333333333333,6
odd_4,TwoVoting,0.0,7
odd_4,TwoVoting,10.0,8
odd_4,TwoVoting,1.3333333333333333,9
odd_4,TwoVoting,57.6,10
diff,PluralityVoting,7.5,4
diff,PluralityVoting,38.4,5
diff,PluralityVoting,240.0,6
diff,PluralityVoting,1954.2857142857142,7
diff,PluralityVoting,14490.0,8
diff,PluralityVoting,138880.0,9
diff,PluralityVoting,1270080.0,10
diff,AntiPluralityVoting,7.5,4
diff,AntiPluralityVoting,38.4,5
diff,AntiPluralityVoting,240.0,6
diff,AntiPluralityVoting,1954.2857142857142,7
diff,AntiPluralityVoting,14490.0,8
diff,AntiPluralityVoting,138880.0,9
diff,AntiPluralityVoting,1270080.0,10
diff,BordaVoting,9.5,4
diff,BordaVoting,66.8,5
diff,BordaVoting,369.6666666666667,6
diff,BordaVoting,3072.5714285714284,7
diff,BordaVoting,21725.875,8
diff,BordaVoting,219742.88888888888,9
diff,BordaVoting,2060717.9,10
diff,TwoVoting,10.0,4
diff,TwoVoting,57.6,5
diff,TwoVoting,328.0,6
diff,TwoVoting,2605.714285714286,7
diff,TwoVoting,20340.0,8
diff,TwoVoting,190400.0,9
diff,TwoVoting,1790208.0,10
half,PluralityVoting,0.0,4
half,PluralityVoting,4.8,5
half,PluralityVoting,180.0,6
half,PluralityVoting,617.1428571428571,7
half,PluralityVoting,12600.0,8
half,PluralityVoting,80640.0,9
half,PluralityVoting,1270080.0,10
half,AntiPluralityVoting,0.0,4
half,AntiPluralityVoting,14.4,5
half,AntiPluralityVoting,180.0,6
half,AntiPluralityVoting,617.1428571428571,7
half,AntiPluralityVoting,12600.0,8
half,AntiPluralityVoting,116480.0,9
half,AntiPluralityVoting,1270080.0,10
half,BordaVoting,8.0,4
half,BordaVoting,2.4,5
half,BordaVoting,344.0,6
half,BordaVoting,43.714285714285715,7
half,BordaVoting,20096.0,8
half,BordaVoting,792.8888888888889,9
half,BordaVoting,1814144.0,10
half,TwoVoting,6.0,4
half,TwoVoting,0.0,5
half,TwoVoting,216.0,6
half,TwoVoting,582.8571428571429,7
half,TwoVoting,15840.0,8
half,TwoVoting,76160.0,9
half,TwoVoting,1572480.0,10
Test,PluralityVoting,1.5,4
Test,PluralityVoting,52.8,5
Test,PluralityVoting,200.0,6
Test,PluralityVoting,1234.2857142857142,7
Test,PluralityVoting,13230.0,8
Test,PluralityVoting,107520.0,9
Test,PluralityVoting,979776.0,10
Test,AntiPluralityVoting,0.0,4
Test,AntiPluralityVoting,38.4,5
Test,AntiPluralityVoting,200.0,6
Test,AntiPluralityVoting,1234.2857142857142,7
Test,AntiPluralityVoting,13230.0,8
Test,AntiPluralityVoting,107520.0,9
Test,AntiPluralityVoting,979776.0,10
Test,BordaVoting,1.25,4
Test,BordaVoting,22.4,5
Test,BordaVoting,0.0,6
Test,BordaVoting,0.0,7
Test,BordaVoting,0.0,8
Test,BordaVoting,0.0,9
Test,BordaVoting,0.0,10
Test,TwoVoting,0.0,4
Test,TwoVoting,36.0,5
Test,TwoVoting,320.0,6
Test,TwoVoting,2057.1428571428573,7
Test,TwoVoting,18900.0,8
Test,TwoVoting,170240.0,9
Test,TwoVoting,1669248.0,10
